region,date,load
Capital,2018/06/20,1495.58333333333
Capital,2018/06/21,1470.29166666666
Capital,2018/06/22,1422.45833333333
Capital,2018/06/23,1357.29166666666
Capital,2018/06/24,1301.41666666666
Capital,2018/06/25,1400.20833333333
Capital,2018/06/26,1365.45833333333
Capital,2018/06/27,1427.5
Capital,2018/06/28,1462.33333333333
Capital,2018/06/29,1598.91666666666
Capital,2018/06/30,1660.08333333333
Capital,2018/07/01,1839.83333333333
Capital,2018/07/02,2083.95833333333
Capital,2018/07/03,2028.29166666666
Capital,2018/07/04,1893.125
Capital,2018/07/05,1974.45833333333
Capital,2018/07/06,1869.54166666666
Capital,2018/07/07,1350.16666666666
Capital,2018/07/08,1393.70833333333
Capital,2018/07/09,1627.41666666666
Capital,2018/07/10,1747.70833333333
Capital,2018/07/11,1664
Capital,2018/07/12,1547.41666666666
Capital,2018/07/13,1626.45833333333
Capital,2018/07/14,1622.125
Capital,2018/07/15,1741.95833333333
Capital,2018/07/16,1913.91666666666
Capital,2018/07/17,1857.66666666666
Capital,2018/07/18,1575.75
Capital,2018/07/19,1480.375
Capital,2018/07/20,1569.91666666666
Capital,2018/07/21,1540.58333333333
Capital,2018/07/22,1537.41666666666
Capital,2018/07/23,1767.83333333333
Capital,2018/07/24,1825.5
Capital,2018/07/25,1814.29166666666
Capital,2018/07/26,1697.29166666666
Capital,2018/07/27,1677.45833333333
Capital,2018/07/28,1548.08333333333
Capital,2018/07/29,1461.45833333333
Capital,2018/07/30,1508.875
Capital,2018/07/31,
Capital,2018/08/01,1665.33333333333
Capital,2018/08/02,1769.75
Capital,2018/08/03,1690.54166666666
Capital,2018/08/04,1571.29166666666
Capital,2018/08/05,1580.08333333333
Capital,2018/08/06,
Capital,2018/08/07,1894.20833333333
Capital,2018/08/08,1792.08333333333
Capital,2018/08/09,1777.54166666666
Capital,2018/08/10,1653.08333333333
Capital,2018/08/11,1480.16666666666
Capital,2018/08/12,1458
Capital,2018/08/13,1617.25
Capital,2018/08/14,1680
Capital,2018/08/15,1731.625
Capital,2018/08/16,1826.125
Capital,2018/08/17,1759.79166666666
Capital,2018/08/18,1606.70833333333
Capital,2018/08/19,1437.83333333333
Capital,2018/08/20,1503.91666666666
Capital,2018/08/21,1540.75
Capital,2018/08/22,1595.04166666666
Capital,2018/08/23,1465.58333333333
Capital,2018/08/24,1463.66666666666
Capital,2018/08/25,1466
Capital,2018/08/26,1460.29166666666
Capital,2018/08/27,1726.25
Capital,2018/08/28,1967.66666666666
Capital,2018/08/29,2042.04166666666
Capital,2018/08/30,1855.875
Capital,2018/08/31,1485.20833333333
Capital,2018/09/01,1414.75
